"Composite List",,,,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,,,
1,11_C0001,,"Ammonium bromide",NH4Br,3.56M,Tris,"0.1 M",8,,,,,,,,
5,11_C0002,,"Ammonium bromide",NH4Br,3.56M,CAPS,"0.1 M",10,,,,,,,,
9,11_C0003,,"Ammonium bromide",NH4Br,2.38M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
13,11_C0004,,"Ammonium bromide",NH4Br,2.38M,HEPES,"0.1 M",7.5,,,,,,,,
17,11_C0005,,"Ammonium bromide",NH4Br,1.19M,"Sodium Acetate","0.1 M",5,,,,,,,,
21,11_C0006,,"Ammonium bromide",NH4Br,1.19M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
25,11_C0007,,"Ammonium bromide",NH4Br,1.19M,TAPS,"0.1 M",9,,,,,,,,
29,11_C0008,,"Ammonium chloride",NH4Cl,3.74M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
33,11_C0009,,"Ammonium chloride",NH4Cl,3.74M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
37,11_C0010,,"Ammonium chloride",NH4Cl,3.74M,HEPES,"0.1 M",7.5,,,,,,,,
41,11_C0011,,"Ammonium chloride",NH4Cl,2.5M,"Sodium Acetate","0.1 M",5,,,,,,,,
45,11_C0012,,"Ammonium chloride",NH4Cl,2.5M,TAPS,"0.1 M",9,,,,,,,,
193,11_C0013,,"Ammonium chloride",NH4Cl,2.5M,CAPS,"0.1 M",10,,,,,,,,
197,11_C0014,,"Ammonium chloride",NH4Cl,1.25M,MES,"0.1 M",6,,,,,,,,
201,11_C0015,,"Ammonium chloride",NH4Cl,1.25M,Tris,"0.1 M",8,,,,,,,,
205,11_C0016,,"Ammonium nitrate",NH4NO3,6.46M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
209,11_C0017,,"Ammonium nitrate",NH4NO3,6.46M,TAPS,"0.1 M",9,,,,,,,,
213,11_C0018,,"Ammonium nitrate",NH4NO3,6.46M,CAPS,"0.1 M",10,,,,,,,,
217,11_C0019,,"Ammonium nitrate",NH4NO3,3.23M,MES,"0.1 M",6,,,,,,,,
221,11_C0020,,"Ammonium nitrate",NH4NO3,3.23M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
225,11_C0021,,"Ammonium nitrate",NH4NO3,3.23M,Tris,"0.1 M",8,,,,,,,,
229,11_C0022,,"Ammonium phosphate-monobasic",NH4H2PO4,0.87M,Tris,"0.1 M",8,,,,,,,,
233,11_C0023,,"Ammonium phosphate-monobasic",NH4H2PO4,1.74M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
237,11_C0024,,"Ammonium phosphate-monobasic",NH4H2PO4,1.74M,MES,"0.1 M",6,,,,,,,,
385,11_C0025,,"Ammonium phosphate-monobasic",NH4H2PO4,1.74M,CAPS,"0.1 M",10,,,,,,,,
389,11_C0026,,"Ammonium phosphate-monobasic",NH4H2PO4,0.87M,"Sodium Acetate","0.1 M",5,,,,,,,,
393,11_C0027,,"Ammonium phosphate-monobasic",NH4H2PO4,0.87M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
397,11_C0028,,"Ammonium phosphate-monobasic",NH4H2PO4,0.87M,TAPS,"0.1 M",9,,,,,,,,
401,11_C0029,,"Ammonium phosphate-dibasic",(NH4)2HPO4,2.13M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
405,11_C0030,,"Ammonium phosphate-dibasic",(NH4)2HPO4,3.2M,Tris,"0.1 M",8,,,,,,,,
409,11_C0031,,"Ammonium phosphate-dibasic",(NH4)2HPO4,3.2M,TAPS,"0.1 M",9,,,,,,,,
413,11_C0032,,"Ammonium phosphate-dibasic",(NH4)2HPO4,2.13M,MES,"0.1 M",6,,,,,,,,
417,11_C0033,,"Ammonium phosphate-dibasic",(NH4)2HPO4,2.13M,HEPES,"0.1 M",7.5,,,,,,,,
421,11_C0034,,"Ammonium phosphate-dibasic",(NH4)2HPO4,1.07M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
425,11_C0035,,"Ammonium phosphate-dibasic",(NH4)2HPO4,1.07M,"Sodium Acetate","0.1 M",5,,,,,,,,
429,11_C0036,,"Ammonium phosphate-dibasic",(NH4)2HPO4,1.07M,TAPS,"0.1 M",9,,,,,,,,
577,11_C0037,,"Ammonium sulfate",(NH4)2SO4,3.42M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
581,11_C0038,,"Ammonium sulfate",(NH4)2SO4,3.42M,"Sodium Acetate","0.1 M",5,,,,,,,,
585,11_C0039,,"Ammonium sulfate",(NH4)2SO4,3.42M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
589,11_C0040,,"Ammonium sulfate",(NH4)2SO4,2.28M,HEPES,"0.1 M",7.5,,,,,,,,
593,11_C0041,,"Ammonium sulfate",(NH4)2SO4,2.28M,Tris,"0.1 M",8,,,,,,,,
597,11_C0042,,"Ammonium sulfate",(NH4)2SO4,1.14M,MES,"0.1 M",6,,,,,,,,
601,11_C0043,,"Ammonium sulfate",(NH4)2SO4,1.14M,TAPS,"0.1 M",9,,,,,,,,
605,11_C0044,,"Ammonium sulfate",(NH4)2SO4,1.14M,CAPS,"0.1 M",10,,,,,,,,
609,11_C0045,,"Calcium acetate",Ca(C2H3O2)2,1.09M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
613,11_C0046,,"Calcium acetate",Ca(C2H3O2)2,0.55M,MES,"0.1 M",6,,,,,,,,
617,11_C0047,,"Calcium acetate",Ca(C2H3O2)2,0.55M,"Sodium Acetate","0.1 M",5,,,,,,,,
621,11_C0048,"HR Crystal Screen Cryo - 43",,,,"Polyethylene Glycol 1500","24% (w/v)",,"Glycerol Anhydrous","20% (v/v)",,,,,,
769,11_C0049,"HR Crystal Screen Cryo - 1","Calcium chloride dihydrate",,0.02M,"Sodium Acetate trihydrate","0.1 M",4.6,"2-Methyl-2,4-pentanediol","30% (v/v)",,,,,,
773,11_C0050,"HR Crystal Screen Cryo - 2","Potassium sodium tartrate tetrahydrate",,0.26M,,,,"Glycerol Anhydrous","35% (v/v)",,,,,,
777,11_C0051,"HR Crystal Screen Cryo - 3","Ammonium dihydrogen phosphate ",,0.26M,,,,"Glycerol Anhydrous","35% (v/v)",,,,,,
781,11_C0052,,"Lithium bromide",LiBr,5.6M,"Sodium Acetate","0.1 M",5,,,,,,,,
