"Composite List",,,,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,,,
1,13A_C0001,"HR Slice pH A1",,,,"Citric acid","0.5 M",3.5,"PEG 3350","15% (w/v)",,,,,,
5,13A_C0002,"HR Slice pH A2",,,,"Citric acid","0.5 M",3.8,"PEG 3350","15% (w/v)",,,,,,
9,13A_C0003,"HR Slice pH A3",,,,"Citric acid","0.5 M",4.1,"PEG 3350","15% (w/v)",,,,,,
13,13A_C0004,"HR Slice pH A4",,,,"Citric acid","0.5 M",4.4,"PEG 3350","15% (w/v)",,,,,,
17,13A_C0005,"HR Slice pH A5",,,,"Sodium citrate tribasic dihydrate","0.5 M",3.6,"PEG 3350","15% (w/v)",,,,,,
21,13A_C0006,"HR Slice pH A6",,,,"Sodium citrate tribasic dihydrate","0.5 M",3.9,"PEG 3350","15% (w/v)",,,,,,
25,13A_C0007,"HR Slice pH A7",,,,"Sodium citrate tribasic dihydrate","0.5 M",4.2,"PEG 3350","15% (w/v)",,,,,,
29,13A_C0008,"HR Slice pH A8",,,,"Sodium citrate tribasic dihydrate","0.5 M",4.5,"PEG 3350","15% (w/v)",,,,,,
33,13A_C0009,"HR Slice pH A9",,,,"Sodium acetate trihydrate","0.5 M",3.7,"PEG 3350","15% (w/v)",,,,,,
37,13A_C0010,"HR Slice pH A10",,,,"Sodium acetate trihydrate","0.5 M",4,"PEG 3350","15% (w/v)",,,,,,
41,13A_C0011,"HR Slice pH A11",,,,"Sodium acetate trihydrate","0.5 M",4.3,"PEG 3350","15% (w/v)",,,,,,
45,13A_C0012,"HR Slice pH A12",,,,"Sodium acetate trihydrate","0.5 M",4.6,"PEG 3350","15% (w/v)",,,,,,
193,13A_C0013,"HR Slice pH B1",,,,"Sodium acetate trihydrate","0.5 M",4.9,"PEG 3350","15% (w/v)",,,,,,
197,13A_C0014,"HR Slice pH B2",,,,"DL-Malic acid","0.5 M",4.7,"PEG 3350","15% (w/v)",,,,,,
201,13A_C0015,"HR Slice pH B3",,,,"DL-Malic acid","0.5 M",5,"PEG 3350","15% (w/v)",,,,,,
205,13A_C0016,"HR Slice pH B4",,,,"DL-Malic acid","0.5 M",5.3,"PEG 3350","15% (w/v)",,,,,,
209,13A_C0017,"HR Slice pH B5",,,,"DL-Malic acid","0.5 M",5.6,"PEG 3350","15% (w/v)",,,,,,
213,13A_C0018,"HR Slice pH B6",,,,"DL-Malic acid","0.5 M",5.9,"PEG 3350","15% (w/v)",,,,,,
217,13A_C0019,"HR Slice pH B7",,,,"Succinic acid","0.5 M",4.8,"PEG 3350","15% (w/v)",,,,,,
221,13A_C0020,"HR Slice pH B8",,,,"Succinic acid","0.5 M",5.1,"PEG 3350","15% (w/v)",,,,,,
225,13A_C0021,"HR Slice pH B9",,,,"Succinic acid","0.5 M",5.4,"PEG 3350","15% (w/v)",,,,,,
229,13A_C0022,"HR Slice pH B10",,,,"Succinic acid","0.5 M",5.7,"PEG 3350","15% (w/v)",,,,,,
233,13A_C0023,"HR Slice pH B11",,,,"Succinic acid","0.5 M",6,"PEG 3350","15% (w/v)",,,,,,
237,13A_C0024,"HR Slice pH B12",,,,"Sodium cacodylate trihydrate","0.5 M",5.2,"PEG 3350","15% (w/v)",,,,,,
385,13A_C0025,"HR Slice pH C1",,,,"Sodium cacodylate trihydrate","0.5 M",5.5,"PEG 3350","15% (w/v)",,,,,,
389,13A_C0026,"HR Slice pH C2",,,,"Sodium cacodylate trihydrate","0.5 M",5.8,"PEG 3350","15% (w/v)",,,,,,
393,13A_C0027,"HR Slice pH C3",,,,"Sodium cacodylate trihydrate","0.5 M",6.1,"PEG 3350","15% (w/v)",,,,,,
397,13A_C0028,"HR Slice pH C4",,,,"Sodium cacodylate trihydrate","0.5 M",6.4,"PEG 3350","15% (w/v)",,,,,,
401,13A_C0029,"HR Slice pH C5",,,,"MES monohydrate","0.5 M",5.3,"PEG 3350","15% (w/v)",,,,,,
405,13A_C0030,"HR Slice pH C6",,,,"MES monohydrate","0.5 M",5.6,"PEG 3350","15% (w/v)",,,,,,
409,13A_C0031,"HR Slice pH C7",,,,"MES monohydrate","0.5 M",5.9,"PEG 3350","15% (w/v)",,,,,,
413,13A_C0032,"HR Slice pH C8",,,,"MES monohydrate","0.5 M",6.2,"PEG 3350","15% (w/v)",,,,,,
417,13A_C0033,"HR Slice pH C9",,,,"MES monohydrate","0.5 M",6.5,"PEG 3350","15% (w/v)",,,,,,
421,13A_C0034,"HR Slice pH C10",,,,"BIS-TRIS ","0.5 M",5.7,"PEG 3350","15% (w/v)",,,,,,
425,13A_C0035,"HR Slice pH C11",,,,"BIS-TRIS ","0.5 M",6,"PEG 3350","15% (w/v)",,,,,,
429,13A_C0036,"HR Slice pH C12",,,,"BIS-TRIS ","0.5 M",6.3,"PEG 3350","15% (w/v)",,,,,,
577,13A_C0037,"HR Slice pH D1",,,,"BIS-TRIS ","0.5 M",6.6,"PEG 3350","15% (w/v)",,,,,,
581,13A_C0038,"HR Slice pH D2",,,,"BIS-TRIS ","0.5 M",6.9,"PEG 3350","15% (w/v)",,,,,,
585,13A_C0039,"HR Slice pH D3",,,,ADA,"0.5 M",5.8,"PEG 3350","15% (w/v)",,,,,,
589,13A_C0040,"HR Slice pH D4",,,,ADA,"0.5 M",6.1,"PEG 3350","15% (w/v)",,,,,,
593,13A_C0041,"HR Slice pH D5",,,,ADA,"0.5 M",6.4,"PEG 3350","15% (w/v)",,,,,,
597,13A_C0042,"HR Slice pH D6",,,,ADA,"0.5 M",6.7,"PEG 3350","15% (w/v)",,,,,,
601,13A_C0043,"HR Slice pH D7",,,,ADA,"0.5 M",7,"PEG 3350","15% (w/v)",,,,,,
605,13A_C0044,"HR Slice pH D8",,,,Imidazole,"0.5 M",6.2,"PEG 3350","15% (w/v)",,,,,,
609,13A_C0045,"HR Slice pH D9",,,,Imidazole,"0.5 M",6.5,"PEG 3350","15% (w/v)",,,,,,
613,13A_C0046,"HR Slice pH D10",,,,Imidazole,"0.5 M",6.8,"PEG 3350","15% (w/v)",,,,,,
617,13A_C0047,"HR Slice pH D11",,,,Imidazole,"0.5 M",7.1,"PEG 3350","15% (w/v)",,,,,,
621,13A_C0048,"HR Slice pH D12",,,,Imidazole,"0.5 M",7.4,"PEG 3350","15% (w/v)",,,,,,
769,13A_C0049,"HR Slice pH E1",,,,"BIS-TRIS propane","0.5 M",6.4,"PEG 3350","15% (w/v)",,,,,,
773,13A_C0050,"HR Slice pH E2",,,,"BIS-TRIS propane","0.5 M",6.7,"PEG 3350","15% (w/v)",,,,,,
777,13A_C0051,"HR Slice pH E3",,,,"BIS-TRIS propane","0.5 M",7,"PEG 3350","15% (w/v)",,,,,,
781,13A_C0052,"HR Slice pH E4",,,,"BIS-TRIS propane","0.5 M",7.3,"PEG 3350","15% (w/v)",,,,,,
785,13A_C0053,"HR Slice pH E5",,,,MOPS,"0.5 M",6.5,"PEG 3350","15% (w/v)",,,,,,
789,13A_C0054,"HR Slice pH E6",,,,MOPS,"0.5 M",6.8,"PEG 3350","15% (w/v)",,,,,,
793,13A_C0055,"HR Slice pH E7",,,,MOPS,"0.5 M",7.1,"PEG 3350","15% (w/v)",,,,,,
797,13A_C0056,"HR Slice pH E8",,,,MOPS,"0.5 M",7.4,"PEG 3350","15% (w/v)",,,,,,
801,13A_C0057,"HR Slice pH E9",,,,MOPS,"0.5 M",7.7,"PEG 3350","15% (w/v)",,,,,,
805,13A_C0058,"HR Slice pH E10",,,,"HEPES sodium ","0.5 M",6.6,"PEG 3350","15% (w/v)",,,,,,
809,13A_C0059,"HR Slice pH E11",,,,"HEPES sodium ","0.5 M",6.9,"PEG 3350","15% (w/v)",,,,,,
813,13A_C0060,"HR Slice pH E12",,,,"HEPES sodium ","0.5 M",7.2,"PEG 3350","15% (w/v)",,,,,,
961,13A_C0061,"HR Slice pH F1",,,,"HEPES sodium ","0.5 M",7.5,"PEG 3350","15% (w/v)",,,,,,
