"Composite List",,,,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,,,
1,17_C0001,"HR Slice pH A1",,,,"Citric acid","0.5 M",3.5,"PEG 3350","15% (w/v)",,,,,,
5,17_C0002,"HR Slice pH A2",,,,"Citric acid","0.5 M",3.8,"PEG 3350","15% (w/v)",,,,,,
9,17_C0003,"HR Slice pH A3",,,,"Citric acid","0.5 M",4.1,"PEG 3350","15% (w/v)",,,,,,
13,17_C0004,"HR Slice pH A4",,,,"Citric acid","0.5 M",4.4,"PEG 3350","15% (w/v)",,,,,,
17,17_C0005,"HR Slice pH A5",,,,"Sodium citrate tribasic dihydrate","0.5 M",3.6,"PEG 3350","15% (w/v)",,,,,,
21,17_C0006,"HR Slice pH A6",,,,"Sodium citrate tribasic dihydrate","0.5 M",3.9,"PEG 3350","15% (w/v)",,,,,,
25,17_C0007,"HR Slice pH A7",,,,"Sodium citrate tribasic dihydrate","0.5 M",4.2,"PEG 3350","15% (w/v)",,,,,,
29,17_C0008,"HR Slice pH A8",,,,"Sodium citrate tribasic dihydrate","0.5 M",4.5,"PEG 3350","15% (w/v)",,,,,,
33,17_C0009,"HR Slice pH A9",,,,"Sodium acetate trihydrate","0.5 M",3.7,"PEG 3350","15% (w/v)",,,,,,
37,17_C0010,"HR Slice pH A10",,,,"Sodium acetate trihydrate","0.5 M",4,"PEG 3350","15% (w/v)",,,,,,
41,17_C0011,"HR Slice pH A11",,,,"Sodium acetate trihydrate","0.5 M",4.3,"PEG 3350","15% (w/v)",,,,,,
45,17_C0012,"HR Slice pH A12",,,,"Sodium acetate trihydrate","0.5 M",4.6,"PEG 3350","15% (w/v)",,,,,,
193,17_C0013,"HR Slice pH B1",,,,"Sodium acetate trihydrate","0.5 M",4.9,"PEG 3350","15% (w/v)",,,,,,
197,17_C0014,"HR Slice pH B2",,,,"DL-Malic acid","0.5 M",4.7,"PEG 3350","15% (w/v)",,,,,,
201,17_C0015,"HR Slice pH B3",,,,"DL-Malic acid","0.5 M",5,"PEG 3350","15% (w/v)",,,,,,
205,17_C0016,"HR Slice pH B4",,,,"DL-Malic acid","0.5 M",5.3,"PEG 3350","15% (w/v)",,,,,,
209,17_C0017,"HR Slice pH B5",,,,"DL-Malic acid","0.5 M",5.6,"PEG 3350","15% (w/v)",,,,,,
213,17_C0018,"HR Slice pH B6",,,,"DL-Malic acid","0.5 M",5.9,"PEG 3350","15% (w/v)",,,,,,
217,17_C0019,"HR Slice pH B7",,,,"Succinic acid","0.5 M",4.8,"PEG 3350","15% (w/v)",,,,,,
221,17_C0020,"HR Slice pH B8",,,,"Succinic acid","0.5 M",5.1,"PEG 3350","15% (w/v)",,,,,,
225,17_C0021,"HR Slice pH B9",,,,"Succinic acid","0.5 M",5.4,"PEG 3350","15% (w/v)",,,,,,
229,17_C0022,"HR Slice pH B10",,,,"Succinic acid","0.5 M",5.7,"PEG 3350","15% (w/v)",,,,,,
233,17_C0023,"HR Slice pH B11",,,,"Succinic acid","0.5 M",6,"PEG 3350","15% (w/v)",,,,,,
237,17_C0024,"HR Slice pH B12",,,,"Sodium cacodylate trihydrate","0.5 M",5.2,"PEG 3350","15% (w/v)",,,,,,
385,17_C0025,"HR Slice pH C1",,,,"Sodium cacodylate trihydrate","0.5 M",5.5,"PEG 3350","15% (w/v)",,,,,,
389,17_C0026,"HR Slice pH C2",,,,"Sodium cacodylate trihydrate","0.5 M",5.8,"PEG 3350","15% (w/v)",,,,,,
393,17_C0027,"HR Slice pH C3",,,,"Sodium cacodylate trihydrate","0.5 M",6.1,"PEG 3350","15% (w/v)",,,,,,
397,17_C0028,"HR Slice pH C4",,,,"Sodium cacodylate trihydrate","0.5 M",6.4,"PEG 3350","15% (w/v)",,,,,,
401,17_C0029,"HR Slice pH C5",,,,"MES monohydrate","0.5 M",5.3,"PEG 3350","15% (w/v)",,,,,,
405,17_C0030,"HR Slice pH C6",,,,"MES monohydrate","0.5 M",5.6,"PEG 3350","15% (w/v)",,,,,,
409,17_C0031,"HR Slice pH C7",,,,"MES monohydrate","0.5 M",5.9,"PEG 3350","15% (w/v)",,,,,,
413,17_C0032,"HR Slice pH C8",,,,"MES monohydrate","0.5 M",6.2,"PEG 3350","15% (w/v)",,,,,,
417,17_C0033,"HR Slice pH C9",,,,"MES monohydrate","0.5 M",6.5,"PEG 3350","15% (w/v)",,,,,,
421,17_C0034,"HR Slice pH C10",,,,"BIS-TRIS ","0.5 M",5.7,"PEG 3350","15% (w/v)",,,,,,
425,17_C0035,"HR Slice pH C11",,,,"BIS-TRIS ","0.5 M",6,"PEG 3350","15% (w/v)",,,,,,
429,17_C0036,"HR Slice pH C12",,,,"BIS-TRIS ","0.5 M",6.3,"PEG 3350","15% (w/v)",,,,,,
577,17_C0037,"HR Slice pH D1",,,,"BIS-TRIS ","0.5 M",6.6,"PEG 3350","15% (w/v)",,,,,,
581,17_C0038,"HR Slice pH D2",,,,"BIS-TRIS ","0.5 M",6.9,"PEG 3350","15% (w/v)",,,,,,
585,17_C0039,"HR Slice pH D3",,,,ADA,"0.5 M",5.8,"PEG 3350","15% (w/v)",,,,,,
589,17_C0040,"HR Slice pH D4",,,,ADA,"0.5 M",6.1,"PEG 3350","15% (w/v)",,,,,,
593,17_C0041,"HR Slice pH D5",,,,ADA,"0.5 M",6.4,"PEG 3350","15% (w/v)",,,,,,
597,17_C0042,"HR Slice pH D6",,,,ADA,"0.5 M",6.7,"PEG 3350","15% (w/v)",,,,,,
601,17_C0043,"HR Slice pH D7",,,,ADA,"0.5 M",7,"PEG 3350","15% (w/v)",,,,,,
605,17_C0044,"HR Slice pH D8",,,,Imidazole,"0.5 M",6.2,"PEG 3350","15% (w/v)",,,,,,
609,17_C0045,"HR Slice pH D9",,,,Imidazole,"0.5 M",6.5,"PEG 3350","15% (w/v)",,,,,,
613,17_C0046,"HR Slice pH D10",,,,Imidazole,"0.5 M",6.8,"PEG 3350","15% (w/v)",,,,,,
617,17_C0047,"HR Slice pH D11",,,,Imidazole,"0.5 M",7.1,"PEG 3350","15% (w/v)",,,,,,
621,17_C0048,"HR Slice pH D12",,,,Imidazole,"0.5 M",7.4,"PEG 3350","15% (w/v)",,,,,,
769,17_C0049,"HR Slice pH E1",,,,"BIS-TRIS propane","0.5 M",6.4,"PEG 3350","15% (w/v)",,,,,,
773,17_C0050,"HR Slice pH E2",,,,"BIS-TRIS propane","0.5 M",6.7,"PEG 3350","15% (w/v)",,,,,,
777,17_C0051,"HR Slice pH E3",,,,"BIS-TRIS propane","0.5 M",7,"PEG 3350","15% (w/v)",,,,,,
781,17_C0052,"HR Slice pH E4",,,,"BIS-TRIS propane","0.5 M",7.3,"PEG 3350","15% (w/v)",,,,,,
785,17_C0053,"HR Slice pH E5",,,,MOPS,"0.5 M",6.5,"PEG 3350","15% (w/v)",,,,,,
789,17_C0054,"HR Slice pH E6",,,,MOPS,"0.5 M",6.8,"PEG 3350","15% (w/v)",,,,,,
793,17_C0055,"HR Slice pH E7",,,,MOPS,"0.5 M",7.1,"PEG 3350","15% (w/v)",,,,,,
797,17_C0056,"HR Slice pH E8",,,,MOPS,"0.5 M",7.4,"PEG 3350","15% (w/v)",,,,,,
801,17_C0057,"HR Slice pH E9",,,,MOPS,"0.5 M",7.7,"PEG 3350","15% (w/v)",,,,,,
805,17_C0058,"HR Slice pH E10",,,,"HEPES sodium ","0.5 M",6.6,"PEG 3350","15% (w/v)",,,,,,
809,17_C0059,"HR Slice pH E11",,,,"HEPES sodium ","0.5 M",6.9,"PEG 3350","15% (w/v)",,,,,,
813,17_C0060,"HR Slice pH E12",,,,"HEPES sodium ","0.5 M",7.2,"PEG 3350","15% (w/v)",,,,,,
961,17_C0061,"HR Slice pH F1",,,,"HEPES sodium ","0.5 M",7.5,"PEG 3350","15% (w/v)",,,,,,
965,17_C0062,"HR Slice pH F2",,,,HEPES,"0.5 M",6.8,"PEG 3350","15% (w/v)",,,,,,
969,17_C0063,"HR Slice pH F3",,,,HEPES,"0.5 M",7.1,"PEG 3350","15% (w/v)",,,,,,
973,17_C0064,"HR Slice pH F4",,,,HEPES,"0.5 M",7.4,"PEG 3350","15% (w/v)",,,,,,
977,17_C0065,"HR Slice pH F5",,,,HEPES,"0.5 M",7.7,"PEG 3350","15% (w/v)",,,,,,
981,17_C0066,"HR Slice pH F6",,,,"TRIS hydrochloride","0.5 M",7.2,"PEG 3350","15% (w/v)",,,,,,
985,17_C0067,"HR Slice pH F7",,,,"TRIS hydrochloride","0.5 M",7.5,"PEG 3350","15% (w/v)",,,,,,
989,17_C0068,"HR Slice pH F8",,,,"TRIS hydrochloride","0.5 M",7.8,"PEG 3350","15% (w/v)",,,,,,
993,17_C0069,"HR Slice pH F9",,,,"TRIS hydrochloride","0.5 M",8.1,"PEG 3350","15% (w/v)",,,,,,
997,17_C0070,"HR Slice pH F10",,,,Tris,"0.5 M",7.3,"PEG 3350","15% (w/v)",,,,,,
1001,17_C0071,"HR Slice pH F11",,,,Tris,"0.5 M",7.6,"PEG 3350","15% (w/v)",,,,,,
1005,17_C0072,"HR Slice pH F12",,,,Tris,"0.5 M",7.9,"PEG 3350","15% (w/v)",,,,,,
1153,17_C0073,"HR Slice pH G1",,,,Tris,"0.5 M",8.2,"PEG 3350","15% (w/v)",,,,,,
1157,17_C0074,"HR Slice pH G2",,,,Tris,"0.5 M",8.5,"PEG 3350","15% (w/v)",,,,,,
1161,17_C0075,"HR Slice pH G3",,,,Tricine,"0.5 M",7.4,"PEG 3350","15% (w/v)",,,,,,
1165,17_C0076,"HR Slice pH G4",,,,Tricine,"0.5 M",7.7,"PEG 3350","15% (w/v)",,,,,,
1169,17_C0077,"HR Slice pH G5",,,,Tricine,"0.5 M",8,"PEG 3350","15% (w/v)",,,,,,
1173,17_C0078,"HR Slice pH G6",,,,Tricine,"0.5 M",8.3,"PEG 3350","15% (w/v)",,,,,,
1177,17_C0079,"HR Slice pH G7",,,,Tricine,"0.5 M",8.6,"PEG 3350","15% (w/v)",,,,,,
1181,17_C0080,"HR Slice pH G8",,,,BICINE,"0.5 M",7.5,"PEG 3350","15% (w/v)",,,,,,
1185,17_C0081,"HR Slice pH G9",,,,BICINE,"0.5 M",7.8,"PEG 3350","15% (w/v)",,,,,,
1189,17_C0082,"HR Slice pH G10",,,,BICINE,"0.5 M",8.1,"PEG 3350","15% (w/v)",,,,,,
1193,17_C0083,"HR Slice pH G11",,,,BICINE,"0.5 M",8.4,"PEG 3350","15% (w/v)",,,,,,
1197,17_C0084,"HR Slice pH G12",,,,BICINE,"0.5 M",8.7,"PEG 3350","15% (w/v)",,,,,,
1345,17_C0085,"HR Slice pH H1",,,,"BIS-TRIS propane","0.5 M",8.5,"PEG 3350","15% (w/v)",,,,,,
1349,17_C0086,"HR Slice pH H2",,,,"BIS-TRIS propane","0.5 M",8.8,"PEG 3350","15% (w/v)",,,,,,
1353,17_C0087,"HR Slice pH H3",,,,"BIS-TRIS propane","0.5 M",9.1,"PEG 3350","15% (w/v)",,,,,,
1357,17_C0088,"HR Slice pH H4",,,,"BIS-TRIS propane","0.5 M",9.4,"PEG 3350","15% (w/v)",,,,,,
1361,17_C0089,"HR Slice pH H5",,,,Glycine,"0.5 M",8.6,"PEG 3350","15% (w/v)",,,,,,
1365,17_C0090,"HR Slice pH H6",,,,Glycine,"0.5 M",8.9,"PEG 3350","15% (w/v)",,,,,,
1369,17_C0091,"HR Slice pH H7",,,,Glycine,"0.5 M",9.2,"PEG 3350","15% (w/v)",,,,,,
1373,17_C0092,"HR Slice pH H8",,,,Glycine,"0.5 M",9.5,"PEG 3350","15% (w/v)",,,,,,
1377,17_C0093,"HR Slice pH H9",,,,AMPD,"0.5 M",8.7,"PEG 3350","15% (w/v)",,,,,,
1381,17_C0094,"HR Slice pH H10",,,,AMPD,"0.5 M",9,"PEG 3350","15% (w/v)",,,,,,
1385,17_C0095,"HR Slice pH H11",,,,AMPD,"0.5 M",9.3,"PEG 3350","15% (w/v)",,,,,,
1389,17_C0096,"HR Slice pH H12",,,,AMPD,"0.5 M",9.6,"PEG 3350","15% (w/v)",,,,,,
97,17_C0097,"HR Ionic Liquid 1","Tetraethylammonium bromide",C8H20BrN,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
101,17_C0098,"HR Ionic Liquid 2","Benzyltriethylammonium chloride",C13H22ClN,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
105,17_C0099,"HR Ionic Liquid 3","2-Hydroxyethylammonium formate",C3H9NO3,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
109,17_C0100,"HR Ionic Liquid 4","Ethylammonium nitrate",C2H8N2O3,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
113,17_C0101,"HR Ionic Liquid 5","Cholin acetate",C7H17NO3,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
117,17_C0102,"HR Ionic Liquid 6","Choline dihydrogen phosphate",C5H16NPO5,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
121,17_C0103,"HR Ionic Liquid 7","1-Ethyl-3-methylimidazolium acetate",C8H14N2O2,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
125,17_C0104,"HR Ionic Liquid 8","1-Butyl-3-methylimidazolium chloride",C8H15ClN2,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
129,17_C0105,"HR Ionic Liquid 9","1-Ethyl-3-methylimidazolium chloride",C6H11ClN2,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
133,17_C0106,"HR Ionic Liquid 10","1-Hexyl-3-methylimidazolium chloride",C10H19ClN2,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
137,17_C0107,"HR Ionic Liquid 11","1-Butyl-3-methylimidazolium dicyanamide",C10H15N5,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
141,17_C0108,"HR Ionic Liquid 12","1,3-Dimethylimidazolium dimethyl phosphate",C7H15N2O4P,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
289,17_C0109,"HR Ionic Liquid 13","1,3-Dimethylimidazolium methyl sulfate",C6H12N2O4S,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
293,17_C0110,"HR Ionic Liquid 14","1-Butyl-3-methylimidazolium methyl sulfate",C9H18N2O4S,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
297,17_C0111,"HR Ionic Liquid 15","1-n-Butyl-3-methylimidazolium n-octylsulfate",C16H32N2O4S,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
301,17_C0112,"HR Ionic Liquid 16","1-Ethyl-3-methylimidazolium ethyl sulfate",C8H16N2O4S,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
305,17_C0113,"HR Ionic Liquid 17","1-Ethyl-3-methylimidazolium tetrafluoroborate",C6H11BF4N2,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
309,17_C0114,"HR Ionic Liquid 18","1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",C9H17BF4N2,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
313,17_C0115,"HR Ionic Liquid 19","1-Butyl-3-methylimidazolium tetrafluoroborate",C8H15BF4N2,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
317,17_C0116,"HR Ionic Liquid 20","1-Butyl-3-methylimidazolium trifluoroacetate",C10H15F3N2O2,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
321,17_C0117,"HR Ionic Liquid 21","1-Ethyl-3-methylimidazolium trifluoromethanesulfonate",C7H11F3N2O3S,"5% (w/v)",MES,"0.09 M",5.8,"PEG 3350","27% (w/v)",,,,,,
