Well position in plate,Cocktail #,Commercial Code,Chemical Additive,Chemical Formula,Concentration,Chemical Additive,Concentration,pH,Chemical Additive,Concentration,Chemical Additive,Concentration,,,,
1,M2_0001,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 400,20% (v/v),,,,,,
5,M2_0002,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 400,28% (v/v),,,,,,
9,M2_0003,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 400,36% (v/v),,,,,,
13,M2_0004,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 400,20% (v/v),,,,,,
17,M2_0005,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 400,28% (v/v),,,,,,
21,M2_0006,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 400,18% (v/v),,,,,,
25,M2_0007,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 400,20% (v/v),,,,,,
29,M2_0008,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.075 M,Sodium Citrate,0.1 M,5.6,PEG 400,7% (v/v),,,,,,
33,M2_0009,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.075 M,Sodium Citrate,0.1 M,5.6,PEG 400,9% (v/v),,,,,,
37,M2_0010,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 400,10% (v/v),,,,,,
41,M2_0011,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 400,7% (v/v),,,,,,
45,M2_0012,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 400,18% (v/v),,,,,,
193,M2_0013,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 400,12.5% (v/v),,,,,,
197,M2_0014,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 400,15% (v/v),,,,,,
201,M2_0015,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 400,20% (v/v),,,,,,
205,M2_0016,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.125 M,Sodium Citrate,0.1 M,5.6,PEG 400,7% (v/v),,,,,,
209,M2_0017,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.125 M,Sodium Citrate,0.1 M,5.6,PEG 400,9% (v/v),,,,,,
213,M2_0018,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.125 M,Sodium Citrate,0.1 M,5.6,PEG 400,12.5% (v/v),,,,,,
217,M2_0019,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.125 M,Sodium Citrate,0.1 M,5.6,PEG 400,15% (v/v),,,,,,
221,M2_0020,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.15 M,Sodium Citrate,0.1 M,5.6,PEG 400,5% (v/v),,,,,,
225,M2_0021,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.15 M,Sodium Citrate,0.1 M,5.6,PEG 400,7% (v/v),,,,,,
229,M2_0022,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.15 M,Sodium Citrate,0.1 M,5.6,PEG 400,9% (v/v),,,,,,
233,M2_0023,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.15 M,Sodium Citrate,0.1 M,5.6,PEG 400,12.5% (v/v),,,,,,
237,M2_0024,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.15 M,Sodium Citrate,0.1 M,5.6,PEG 400,15% (v/v),,,,,,
385,M2_0025,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.1 M,MES,0.1 M,6,PEG 400,20% (v/v),,,,,,
389,M2_0026,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.1 M,MES,0.1 M,6,PEG 400,30% (v/v),,,,,,
393,M2_0027,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.1 M,MES,0.1 M,6,PEG 400,40% (v/v),,,,,,
397,M2_0028,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.1 M,MES,0.1 M,6,PEG 400,50% (v/v),,,,,,
401,M2_0029,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.05 M,MES,0.1 M,6,PEG 400,30% (v/v),,,,,,
405,M2_0030,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.2 M,MES,0.1 M,6,PEG 400,20% (v/v),,,,,,
409,M2_0031,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.2 M,MES,0.1 M,6,PEG 400,30% (v/v),,,,,,
413,M2_0032,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.2 M,MES,0.1 M,6,PEG 400,40% (v/v),,,,,,
417,M2_0033,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.2 M,MES,0.1 M,6,PEG 400,50% (v/v),,,,,,
421,M2_0034,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.05 M,MES,0.1 M,6,PEG 400,15% (v/v),,,,,,
425,M2_0035,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.4 M,MES,0.1 M,6,PEG 400,20% (v/v),,,,,,
429,M2_0036,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.4 M,MES,0.1 M,6,PEG 400,30% (v/v),,,,,,
577,M2_0037,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.1 M,MES,0.1 M,6,PEG 400,10% (v/v),,,,,,
581,M2_0038,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.4 M,MES,0.1 M,6,PEG 400,50% (v/v),,,,,,
585,M2_0039,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.1 M,MES,0.1 M,6,PEG 400,15% (v/v),,,,,,
589,M2_0040,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.5 M,MES,0.1 M,6,PEG 400,20% (v/v),,,,,,
593,M2_0041,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.5 M,MES,0.1 M,6,PEG 400,30% (v/v),,,,,,
597,M2_0042,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.5 M,MES,0.1 M,6,PEG 400,40% (v/v),,,,,,
601,M2_0043,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.5 M,MES,0.1 M,6,PEG 400,50% (v/v),,,,,,
605,M2_0044,,Magnesium Chloride hexahydrate,MgCl2 ∙ 6H2O,0.25 M,MES,0.1 M,6,PEG 400,30% (v/v),,,,,,
609,M2_0045,,Ammonium Sulfate ,(NH4)2SO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 400,20% (v/v),,,,,,
613,M2_0046,,Ammonium Sulfate ,(NH4)2SO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 400,30% (v/v),,,,,,
617,M2_0047,,Ammonium Sulfate ,(NH4)2SO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 400,40% (v/v),,,,,,
621,M2_0048,,Ammonium Sulfate ,(NH4)2SO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 400,15% (v/v),,,,,,
769,M2_0049,,Ammonium Sulfate ,(NH4)2SO4,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 400,30% (v/v),,,,,,
773,M2_0050,,Ammonium Sulfate ,(NH4)2SO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 400,30% (v/v),,,,,,
777,M2_0051,,Ammonium Sulfate ,(NH4)2SO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 400,25% (v/v),,,,,,
781,M2_0052,,Ammonium Sulfate ,(NH4)2SO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 400,10% (v/v),,,,,,
785,M2_0053,,Ammonium Sulfate ,(NH4)2SO4,0.4 M,Sodium Citrate,0.1 M,5.6,PEG 400,20% (v/v),,,,,,
789,M2_0054,,Ammonium Sulfate ,(NH4)2SO4,0.4 M,Sodium Citrate,0.1 M,5.6,PEG 400,30% (v/v),,,,,,
793,M2_0055,,Ammonium Sulfate ,(NH4)2SO4,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 400,20% (v/v),,,,,,
797,M2_0056,,Ammonium Sulfate ,(NH4)2SO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 400,20% (v/v),,,,,,
801,M2_0057,,Ammonium Sulfate ,(NH4)2SO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 400,40% (v/v),,,,,,
805,M2_0058,,Ammonium Sulfate ,(NH4)2SO4,0.5 M,Sodium Citrate,0.1 M,5.6,PEG 400,20% (v/v),,,,,,
809,M2_0059,,Ammonium Sulfate ,(NH4)2SO4,0.25 M,Sodium Citrate,0.1 M,5.6,PEG 400,15% (v/v),,,,,,
813,M2_0060,,Ammonium Sulfate ,(NH4)2SO4,0.025 M,Sodium Citrate,0.1 M,5.6,PEG 400,30% (v/v),,,,,,
961,M2_0061,,Lithium chloride,LiCl,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 400,20% (v/v),,,,,,
965,M2_0062,,Lithium Chloride,LiCl,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 400,30% (v/v),,,,,,
969,M2_0063,,Lithium chloride,LiCl,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 400,40% (v/v),,,,,,
