"Composite List",,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,
1,M4_C0001,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
5,M4_C0002,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","28% (v/v)",,,,
9,M4_C0003,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","36% (v/v)",,,,
13,M4_C0004,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
17,M4_C0005,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","28% (v/v)",,,,
21,M4_C0006,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","18% (v/v)",,,,
25,M4_C0007,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
29,M4_C0008,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.075 M","Sodium Citrate","0.1 M",5.6,"PEG 400","7% (v/v)",,,,
33,M4_C0009,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.075 M","Sodium Citrate","0.1 M",5.6,"PEG 400","9% (v/v)",,,,
37,M4_C0010,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","10% (v/v)",,,,
41,M4_C0011,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","7% (v/v)",,,,
45,M4_C0012,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","18% (v/v)",,,,
193,M4_C0013,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","12.5% (v/v)",,,,
197,M4_C0014,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,
201,M4_C0015,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,
205,M4_C0016,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M","Sodium Citrate","0.1 M",5.6,"PEG 400","7% (v/v)",,,,
209,M4_C0017,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M","Sodium Citrate","0.1 M",5.6,"PEG 400","9% (v/v)",,,,
213,M4_C0018,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M","Sodium Citrate","0.1 M",5.6,"PEG 400","12.5% (v/v)",,,,
217,M4_C0019,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,
221,M4_C0020,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","5% (v/v)",,,,
225,M4_C0021,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","7% (v/v)",,,,
229,M4_C0022,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","9% (v/v)",,,,
233,M4_C0023,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","12.5% (v/v)",,,,
237,M4_C0024,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,
385,M4_C0025,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","20% (v/v)",,,,
389,M4_C0026,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,
393,M4_C0027,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","40% (v/v)",,,,
397,M4_C0028,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","50% (v/v)",,,,
401,M4_C0029,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.05 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,
405,M4_C0030,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.2 M",MES,"0.1 M",6,"PEG 400","20% (v/v)",,,,
