"Composite List",,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,
1,10_C0001,,"Ammonium bromide",NH4Br,3.56M,Tris,"0.1 M",8,,,,,,
5,10_C0002,,"Ammonium bromide",NH4Br,3.56M,CAPS,"0.1 M",10,,,,,,
9,10_C0003,,"Ammonium bromide",NH4Br,2.38M,"Sodium Citrate","0.1 M",4.2,,,,,,
13,10_C0004,,"Ammonium bromide",NH4Br,2.38M,HEPES,"0.1 M",7.5,,,,,,
17,10_C0005,,"Ammonium bromide",NH4Br,1.19M,"Sodium Acetate","0.1 M",5,,,,,,
21,10_C0006,,"Ammonium bromide",NH4Br,1.19M,"Bis-Tris Propane","0.1 M",7,,,,,,
25,10_C0007,,"Ammonium bromide",NH4Br,1.19M,TAPS,"0.1 M",9,,,,,,
29,10_C0008,,"Ammonium chloride",NH4Cl,3.74M,"Sodium Citrate","0.1 M",4.2,,,,,,
33,10_C0009,,"Ammonium chloride",NH4Cl,3.74M,"Bis-Tris Propane","0.1 M",7,,,,,,
37,10_C0010,,"Ammonium chloride",NH4Cl,3.74M,HEPES,"0.1 M",7.5,,,,,,
41,10_C0011,,"Ammonium chloride",NH4Cl,2.5M,"Sodium Acetate","0.1 M",5,,,,,,
45,10_C0012,,"Ammonium chloride",NH4Cl,2.5M,TAPS,"0.1 M",9,,,,,,
193,10_C0013,,"Ammonium chloride",NH4Cl,2.5M,CAPS,"0.1 M",10,,,,,,
197,10_C0014,,"Ammonium chloride",NH4Cl,1.25M,MES,"0.1 M",6,,,,,,
201,10_C0015,,"Ammonium chloride",NH4Cl,1.25M,Tris,"0.1 M",8,,,,,,
205,10_C0016,,"Ammonium nitrate",NH4NO3,6.46M,"Sodium Citrate","0.1 M",4.2,,,,,,
209,10_C0017,,"Ammonium nitrate",NH4NO3,6.46M,TAPS,"0.1 M",9,,,,,,
213,10_C0018,,"Ammonium nitrate",NH4NO3,6.46M,CAPS,"0.1 M",10,,,,,,
217,10_C0019,,"Ammonium nitrate",NH4NO3,3.23M,MES,"0.1 M",6,,,,,,
221,10_C0020,,"Ammonium nitrate",NH4NO3,3.23M,"Bis-Tris Propane","0.1 M",7,,,,,,
225,10_C0021,,"Ammonium nitrate",NH4NO3,3.23M,Tris,"0.1 M",8,,,,,,
229,10_C0022,,"Ammonium phosphate-monobasic",NH4H2PO4,0.87M,Tris,"0.1 M",8,,,,,,
233,10_C0023,,"Ammonium phosphate-monobasic",NH4H2PO4,1.74M,"Sodium Citrate","0.1 M",4.2,,,,,,
237,10_C0024,,"Ammonium phosphate-monobasic",NH4H2PO4,1.74M,MES,"0.1 M",6,,,,,,
385,10_C0025,,"Ammonium phosphate-monobasic",NH4H2PO4,1.74M,CAPS,"0.1 M",10,,,,,,
389,10_C0026,,"Ammonium phosphate-monobasic",NH4H2PO4,0.87M,"Sodium Acetate","0.1 M",5,,,,,,
393,10_C0027,,"Ammonium phosphate-monobasic",NH4H2PO4,0.87M,"Bis-Tris Propane","0.1 M",7,,,,,,
397,10_C0028,,"Ammonium phosphate-monobasic",NH4H2PO4,0.87M,TAPS,"0.1 M",9,,,,,,
401,10_C0029,,"Ammonium phosphate-dibasic",(NH4)2HPO4,2.13M,"Bis-Tris Propane","0.1 M",7,,,,,,
405,10_C0030,,"Ammonium phosphate-dibasic",(NH4)2HPO4,3.2M,Tris,"0.1 M",8,,,,,,
409,10_C0031,,"Ammonium phosphate-dibasic",(NH4)2HPO4,3.2M,TAPS,"0.1 M",9,,,,,,
413,10_C0032,,"Ammonium phosphate-dibasic",(NH4)2HPO4,2.13M,MES,"0.1 M",6,,,,,,
417,10_C0033,,"Ammonium phosphate-dibasic",(NH4)2HPO4,2.13M,HEPES,"0.1 M",7.5,,,,,,
421,10_C0034,,"Ammonium phosphate-dibasic",(NH4)2HPO4,1.07M,"Sodium Citrate","0.1 M",4.2,,,,,,
425,10_C0035,,"Ammonium phosphate-dibasic",(NH4)2HPO4,1.07M,"Sodium Acetate","0.1 M",5,,,,,,
429,10_C0036,,"Ammonium phosphate-dibasic",(NH4)2HPO4,1.07M,TAPS,"0.1 M",9,,,,,,
