"Composite List",,,,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,,,
1,12_C0001,,"Ammonium bromide",NH4Br,3.56M,Tris,"0.1 M",8,,,,,,,,
5,12_C0002,,"Ammonium bromide",NH4Br,3.56M,CAPS,"0.1 M",10,,,,,,,,
9,12_C0003,,"Ammonium bromide",NH4Br,2.38M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
13,12_C0004,,"Ammonium bromide",NH4Br,2.38M,HEPES,"0.1 M",7.5,,,,,,,,
17,12_C0005,,"Ammonium bromide",NH4Br,1.19M,"Sodium Acetate","0.1 M",5,,,,,,,,
21,12_C0006,,"Ammonium bromide",NH4Br,1.19M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
25,12_C0007,,"Ammonium bromide",NH4Br,1.19M,TAPS,"0.1 M",9,,,,,,,,
29,12_C0008,,"Ammonium chloride",NH4Cl,3.74M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
33,12_C0009,,"Ammonium chloride",NH4Cl,3.74M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
37,12_C0010,,"Ammonium chloride",NH4Cl,3.74M,HEPES,"0.1 M",7.5,,,,,,,,
41,12_C0011,,"Ammonium chloride",NH4Cl,2.5M,"Sodium Acetate","0.1 M",5,,,,,,,,
45,12_C0012,,"Ammonium chloride",NH4Cl,2.5M,TAPS,"0.1 M",9,,,,,,,,
193,12_C0013,,"Ammonium chloride",NH4Cl,2.5M,CAPS,"0.1 M",10,,,,,,,,
197,12_C0014,,"Ammonium chloride",NH4Cl,1.25M,MES,"0.1 M",6,,,,,,,,
201,12_C0015,,"Ammonium chloride",NH4Cl,1.25M,Tris,"0.1 M",8,,,,,,,,
205,12_C0016,,"Ammonium nitrate",NH4NO3,6.46M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
209,12_C0017,,"Ammonium nitrate",NH4NO3,6.46M,TAPS,"0.1 M",9,,,,,,,,
213,12_C0018,,"Ammonium nitrate",NH4NO3,6.46M,CAPS,"0.1 M",10,,,,,,,,
217,12_C0019,,"Ammonium nitrate",NH4NO3,3.23M,MES,"0.1 M",6,,,,,,,,
221,12_C0020,,"Ammonium nitrate",NH4NO3,3.23M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
225,12_C0021,,"Ammonium nitrate",NH4NO3,3.23M,Tris,"0.1 M",8,,,,,,,,
229,12_C0022,,"Ammonium phosphate-monobasic",NH4H2PO4,0.87M,Tris,"0.1 M",8,,,,,,,,
233,12_C0023,,"Ammonium phosphate-monobasic",NH4H2PO4,1.74M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
237,12_C0024,,"Ammonium phosphate-monobasic",NH4H2PO4,1.74M,MES,"0.1 M",6,,,,,,,,
385,12_C0025,,"Ammonium phosphate-monobasic",NH4H2PO4,1.74M,CAPS,"0.1 M",10,,,,,,,,
389,12_C0026,,"Ammonium phosphate-monobasic",NH4H2PO4,0.87M,"Sodium Acetate","0.1 M",5,,,,,,,,
393,12_C0027,,"Ammonium phosphate-monobasic",NH4H2PO4,0.87M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
397,12_C0028,,"Ammonium phosphate-monobasic",NH4H2PO4,0.87M,TAPS,"0.1 M",9,,,,,,,,
401,12_C0029,,"Ammonium phosphate-dibasic",(NH4)2HPO4,2.13M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
405,12_C0030,,"Ammonium phosphate-dibasic",(NH4)2HPO4,3.2M,Tris,"0.1 M",8,,,,,,,,
409,12_C0031,,"Ammonium phosphate-dibasic",(NH4)2HPO4,3.2M,TAPS,"0.1 M",9,,,,,,,,
413,12_C0032,,"Ammonium phosphate-dibasic",(NH4)2HPO4,2.13M,MES,"0.1 M",6,,,,,,,,
417,12_C0033,,"Ammonium phosphate-dibasic",(NH4)2HPO4,2.13M,HEPES,"0.1 M",7.5,,,,,,,,
421,12_C0034,,"Ammonium phosphate-dibasic",(NH4)2HPO4,1.07M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
425,12_C0035,,"Ammonium phosphate-dibasic",(NH4)2HPO4,1.07M,"Sodium Acetate","0.1 M",5,,,,,,,,
429,12_C0036,,"Ammonium phosphate-dibasic",(NH4)2HPO4,1.07M,TAPS,"0.1 M",9,,,,,,,,
577,12_C0037,,"Ammonium sulfate",(NH4)2SO4,3.42M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
581,12_C0038,,"Ammonium sulfate",(NH4)2SO4,3.42M,"Sodium Acetate","0.1 M",5,,,,,,,,
585,12_C0039,,"Ammonium sulfate",(NH4)2SO4,3.42M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
589,12_C0040,,"Ammonium sulfate",(NH4)2SO4,2.28M,HEPES,"0.1 M",7.5,,,,,,,,
593,12_C0041,,"Ammonium sulfate",(NH4)2SO4,2.28M,Tris,"0.1 M",8,,,,,,,,
597,12_C0042,,"Ammonium sulfate",(NH4)2SO4,1.14M,MES,"0.1 M",6,,,,,,,,
601,12_C0043,,"Ammonium sulfate",(NH4)2SO4,1.14M,TAPS,"0.1 M",9,,,,,,,,
605,12_C0044,,"Ammonium sulfate",(NH4)2SO4,1.14M,CAPS,"0.1 M",10,,,,,,,,
609,12_C0045,,"Calcium acetate",Ca(C2H3O2)2,1.09M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
613,12_C0046,,"Calcium acetate",Ca(C2H3O2)2,0.55M,MES,"0.1 M",6,,,,,,,,
617,12_C0047,,"Calcium acetate",Ca(C2H3O2)2,0.55M,"Sodium Acetate","0.1 M",5,,,,,,,,
621,12_C0048,"HR Crystal Screen Cryo - 43",,,,"Polyethylene Glycol 1500","24% (w/v)",,"Glycerol Anhydrous","20% (v/v)",,,,,,
769,12_C0049,"HR Crystal Screen Cryo - 1","Calcium chloride dihydrate",,0.02M,"Sodium Acetate trihydrate","0.1 M",4.6,"2-Methyl-2,4-pentanediol","30% (v/v)",,,,,,
773,12_C0050,"HR Crystal Screen Cryo - 2","Potassium sodium tartrate tetrahydrate",,0.26M,,,,"Glycerol Anhydrous","35% (v/v)",,,,,,
777,12_C0051,"HR Crystal Screen Cryo - 3","Ammonium dihydrogen phosphate ",,0.26M,,,,"Glycerol Anhydrous","35% (v/v)",,,,,,
781,12_C0052,,"Lithium bromide",LiBr,5.6M,"Sodium Acetate","0.1 M",5,,,,,,,,
785,12_C0053,,"Lithium bromide",LiBr,5.6M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
789,12_C0054,,"Lithium bromide",LiBr,3.73M,MES,"0.1 M",6,,,,,,,,
793,12_C0055,,"Lithium bromide",LiBr,3.73M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
797,12_C0056,,"Lithium bromide",LiBr,1.87M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
801,12_C0057,,"Lithium bromide",LiBr,1.87M,Tris,"0.1 M",8,,,,,,,,
805,12_C0058,,"Lithium bromide",LiBr,1.87M,TAPS,"0.1 M",9,,,,,,,,
809,12_C0059,,"Lithium chloride",LiCl,6.62M,"Sodium Acetate","0.1 M",5,,,,,,,,
813,12_C0060,,"Lithium chloride",LiCl,6.62M,HEPES,"0.1 M",7.5,,,,,,,,
961,12_C0061,,"Lithium chloride",LiCl,6.62M,CAPS,"0.1 M",10,,,,,,,,
965,12_C0062,,"Lithium chloride",LiCl,4.42M,MES,"0.1 M",6,,,,,,,,
969,12_C0063,,"Lithium chloride",LiCl,4.42M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
973,12_C0064,,"Lithium chloride",LiCl,4.42M,Tris,"0.1 M",8,,,,,,,,
977,12_C0065,,"Lithium chloride",LiCl,2.21M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
981,12_C0066,,"Lithium chloride",LiCl,2.21M,TAPS,"0.1 M",9,,,,,,,,
985,12_C0067,,"Magnesium Acetate tetrahydrate",Mg(C2H3O2)2*4H2O,2.69M,"Bis-Tris Propane","0.1 M",7,,,,,,,,
989,12_C0068,,"Magnesium Acetate tetrahydrate",Mg(C2H3O2)2*4H2O,2.69M,TAPS,"0.1 M",9,,,,,,,,
993,12_C0069,,"Magnesium Acetate tetrahydrate",Mg(C2H3O2)2*4H2O,1.79M,"Sodium Citrate","0.1 M",4.2,,,,,,,,
