Composite List,,,,,,,,,,,,,,,,
Well position in plate,Cocktail #,Commercial Code,Chemical Additive,Chemical Formula,Concentration,Chemical Additive,Concentration,pH,Chemical Additive,Concentration,Chemical Additive,Concentration,Chemical Additive,Concentration,Chemical Additive,Concentration
1,21_C0001,HR Slice pH A1,,,,Citric acid,0.5 M,3.5,PEG 3350,15% (w/v),,,,,,
5,21_C0002,HR Slice pH A2,,,,Citric acid,0.5 M,3.8,PEG 3350,15% (w/v),,,,,,
9,21_C0003,HR Slice pH A3,,,,Citric acid,0.5 M,4.1,PEG 3350,15% (w/v),,,,,,
13,21_C0004,HR Slice pH A4,,,,Citric acid,0.5 M,4.4,PEG 3350,15% (w/v),,,,,,
17,21_C0005,HR Slice pH A5,,,,Sodium citrate tribasic dihydrate,0.5 M,3.6,PEG 3350,15% (w/v),,,,,,
21,21_C0006,HR Slice pH A6,,,,Sodium citrate tribasic dihydrate,0.5 M,3.9,PEG 3350,15% (w/v),,,,,,
25,21_C0007,HR Slice pH A7,,,,Sodium citrate tribasic dihydrate,0.5 M,4.2,PEG 3350,15% (w/v),,,,,,
29,21_C0008,HR Slice pH A8,,,,Sodium citrate tribasic dihydrate,0.5 M,4.5,PEG 3350,15% (w/v),,,,,,
33,21_C0009,HR Slice pH A9,,,,Sodium acetate trihydrate,0.5 M,3.7,PEG 3350,15% (w/v),,,,,,
37,21_C0010,HR Slice pH A10,,,,Sodium acetate trihydrate,0.5 M,4,PEG 3350,15% (w/v),,,,,,
41,21_C0011,HR Slice pH A11,,,,Sodium acetate trihydrate,0.5 M,4.3,PEG 3350,15% (w/v),,,,,,
45,21_C0012,HR Slice pH A12,,,,Sodium acetate trihydrate,0.5 M,4.6,PEG 3350,15% (w/v),,,,,,
193,21_C0013,HR Slice pH B1,,,,Sodium acetate trihydrate,0.5 M,4.9,PEG 3350,15% (w/v),,,,,,
197,21_C0014,HR Slice pH B2,,,,DL-Malic acid,0.5 M,4.7,PEG 3350,15% (w/v),,,,,,
201,21_C0015,HR Slice pH B3,,,,DL-Malic acid,0.5 M,5,PEG 3350,15% (w/v),,,,,,
205,21_C0016,HR Slice pH B4,,,,DL-Malic acid,0.5 M,5.3,PEG 3350,15% (w/v),,,,,,
209,21_C0017,HR Slice pH B5,,,,DL-Malic acid,0.5 M,5.6,PEG 3350,15% (w/v),,,,,,
213,21_C0018,HR Slice pH B6,,,,DL-Malic acid,0.5 M,5.9,PEG 3350,15% (w/v),,,,,,
217,21_C0019,HR Slice pH B7,,,,Succinic acid,0.5 M,4.8,PEG 3350,15% (w/v),,,,,,
221,21_C0020,HR Slice pH B8,,,,Succinic acid,0.5 M,5.1,PEG 3350,15% (w/v),,,,,,
225,21_C0021,HR Slice pH B9,,,,Succinic acid,0.5 M,5.4,PEG 3350,15% (w/v),,,,,,
229,21_C0022,HR Slice pH B10,,,,Succinic acid,0.5 M,5.7,PEG 3350,15% (w/v),,,,,,
233,21_C0023,HR Slice pH B11,,,,Succinic acid,0.5 M,6,PEG 3350,15% (w/v),,,,,,
237,21_C0024,HR Slice pH B12,,,,Sodium cacodylate trihydrate,0.5 M,5.2,PEG 3350,15% (w/v),,,,,,
385,21_C0025,HR Slice pH C1,,,,Sodium cacodylate trihydrate,0.5 M,5.5,PEG 3350,15% (w/v),,,,,,
389,21_C0026,HR Slice pH C2,,,,Sodium cacodylate trihydrate,0.5 M,5.8,PEG 3350,15% (w/v),,,,,,
393,21_C0027,HR Slice pH C3,,,,Sodium cacodylate trihydrate,0.5 M,6.1,PEG 3350,15% (w/v),,,,,,
397,21_C0028,HR Slice pH C4,,,,Sodium cacodylate trihydrate,0.5 M,6.4,PEG 3350,15% (w/v),,,,,,
401,21_C0029,HR Slice pH C5,,,,MES monohydrate,0.5 M,5.3,PEG 3350,15% (w/v),,,,,,
405,21_C0030,HR Slice pH C6,,,,MES monohydrate,0.5 M,5.6,PEG 3350,15% (w/v),,,,,,
409,21_C0031,HR Slice pH C7,,,,MES monohydrate,0.5 M,5.9,PEG 3350,15% (w/v),,,,,,
413,21_C0032,HR Slice pH C8,,,,MES monohydrate,0.5 M,6.2,PEG 3350,15% (w/v),,,,,,
417,21_C0033,HR Slice pH C9,,,,MES monohydrate,0.5 M,6.5,PEG 3350,15% (w/v),,,,,,
421,21_C0034,HR Slice pH C10,,,,BIS-TRIS,0.5 M,5.7,PEG 3350,15% (w/v),,,,,,
425,21_C0035,HR Slice pH C11,,,,BIS-TRIS,0.5 M,6,PEG 3350,15% (w/v),,,,,,
429,21_C0036,HR Slice pH C12,,,,BIS-TRIS,0.5 M,6.3,PEG 3350,15% (w/v),,,,,,
577,21_C0037,HR Slice pH D1,,,,BIS-TRIS,0.5 M,6.6,PEG 3350,15% (w/v),,,,,,
581,21_C0038,HR Slice pH D2,,,,BIS-TRIS,0.5 M,6.9,PEG 3350,15% (w/v),,,,,,
585,21_C0039,HR Slice pH D3,,,,ADA,0.5 M,5.8,PEG 3350,15% (w/v),,,,,,
589,21_C0040,HR Slice pH D4,,,,ADA,0.5 M,6.1,PEG 3350,15% (w/v),,,,,,
593,21_C0041,HR Slice pH D5,,,,ADA,0.5 M,6.4,PEG 3350,15% (w/v),,,,,,
597,21_C0042,HR Slice pH D6,,,,ADA,0.5 M,6.7,PEG 3350,15% (w/v),,,,,,
601,21_C0043,HR Slice pH D7,,,,ADA,0.5 M,7,PEG 3350,15% (w/v),,,,,,
605,21_C0044,HR Slice pH D8,,,,Imidazole,0.5 M,6.2,PEG 3350,15% (w/v),,,,,,
609,21_C0045,HR Slice pH D9,,,,Imidazole,0.5 M,6.5,PEG 3350,15% (w/v),,,,,,
613,21_C0046,HR Slice pH D10,,,,Imidazole,0.5 M,6.8,PEG 3350,15% (w/v),,,,,,
617,21_C0047,HR Slice pH D11,,,,Imidazole,0.5 M,7.1,PEG 3350,15% (w/v),,,,,,
621,21_C0048,HR Slice pH D12,,,,Imidazole,0.5 M,7.4,PEG 3350,15% (w/v),,,,,,
769,21_C0049,HR Slice pH E1,,,,BIS-TRIS propane,0.5 M,6.4,PEG 3350,15% (w/v),,,,,,
773,21_C0050,HR Slice pH E2,,,,BIS-TRIS propane,0.5 M,6.7,PEG 3350,15% (w/v),,,,,,
777,21_C0051,HR Slice pH E3,,,,BIS-TRIS propane,0.5 M,7,PEG 3350,15% (w/v),,,,,,
781,21_C0052,HR Slice pH E4,,,,BIS-TRIS propane,0.5 M,7.3,PEG 3350,15% (w/v),,,,,,
785,21_C0053,HR Slice pH E5,,,,MOPS,0.5 M,6.5,PEG 3350,15% (w/v),,,,,,
789,21_C0054,HR Slice pH E6,,,,MOPS,0.5 M,6.8,PEG 3350,15% (w/v),,,,,,
793,21_C0055,HR Slice pH E7,,,,MOPS,0.5 M,7.1,PEG 3350,15% (w/v),,,,,,
797,21_C0056,HR Slice pH E8,,,,MOPS,0.5 M,7.4,PEG 3350,15% (w/v),,,,,,
801,21_C0057,HR Slice pH E9,,,,MOPS,0.5 M,7.7,PEG 3350,15% (w/v),,,,,,
805,21_C0058,HR Slice pH E10,,,,HEPES sodium,0.5 M,6.6,PEG 3350,15% (w/v),,,,,,
809,21_C0059,HR Slice pH E11,,,,HEPES sodium,0.5 M,6.9,PEG 3350,15% (w/v),,,,,,
813,21_C0060,HR Slice pH E12,,,,HEPES sodium,0.5 M,7.2,PEG 3350,15% (w/v),,,,,,
961,21_C0061,HR Slice pH F1,,,,HEPES sodium,0.5 M,7.5,PEG 3350,15% (w/v),,,,,,
965,21_C0062,HR Slice pH F2,,,,HEPES,0.5 M,6.8,PEG 3350,15% (w/v),,,,,,
969,21_C0063,HR Slice pH F3,,,,HEPES,0.5 M,7.1,PEG 3350,15% (w/v),,,,,,
973,21_C0064,HR Slice pH F4,,,,HEPES,0.5 M,7.4,PEG 3350,15% (w/v),,,,,,
977,21_C0065,HR Slice pH F5,,,,HEPES,0.5 M,7.7,PEG 3350,15% (w/v),,,,,,
981,21_C0066,HR Slice pH F6,,,,TRIS hydrochloride,0.5 M,7.2,PEG 3350,15% (w/v),,,,,,
985,21_C0067,HR Slice pH F7,,,,TRIS hydrochloride,0.5 M,7.5,PEG 3350,15% (w/v),,,,,,
989,21_C0068,HR Slice pH F8,,,,TRIS hydrochloride,0.5 M,7.8,PEG 3350,15% (w/v),,,,,,
993,21_C0069,HR Slice pH F9,,,,TRIS hydrochloride,0.5 M,8.1,PEG 3350,15% (w/v),,,,,,
997,21_C0070,HR Slice pH F10,,,,TRIS,0.5 M,7.3,PEG 3350,15% (w/v),,,,,,
1001,21_C0071,HR Slice pH F11,,,,TRIS,0.5 M,7.6,PEG 3350,15% (w/v),,,,,,
1005,21_C0072,HR Slice pH F12,,,,TRIS,0.5 M,7.9,PEG 3350,15% (w/v),,,,,,
1153,21_C0073,HR Slice pH G1,,,,TRIS,0.5 M,8.2,PEG 3350,15% (w/v),,,,,,
1157,21_C0074,HR Slice pH G2,,,,TRIS,0.5 M,8.5,PEG 3350,15% (w/v),,,,,,
1161,21_C0075,HR Slice pH G3,,,,Tricine,0.5 M,7.4,PEG 3350,15% (w/v),,,,,,
1165,21_C0076,HR Slice pH G4,,,,Tricine,0.5 M,7.7,PEG 3350,15% (w/v),,,,,,
1169,21_C0077,HR Slice pH G5,,,,Tricine,0.5 M,8,PEG 3350,15% (w/v),,,,,,
1173,21_C0078,HR Slice pH G6,,,,Tricine,0.5 M,8.3,PEG 3350,15% (w/v),,,,,,
1177,21_C0079,HR Slice pH G7,,,,Tricine,0.5 M,8.6,PEG 3350,15% (w/v),,,,,,
1181,21_C0080,HR Slice pH G8,,,,BICINE,0.5 M,7.5,PEG 3350,15% (w/v),,,,,,
1185,21_C0081,HR Slice pH G9,,,,BICINE,0.5 M,7.8,PEG 3350,15% (w/v),,,,,,
1189,21_C0082,HR Slice pH G10,,,,BICINE,0.5 M,8.1,PEG 3350,15% (w/v),,,,,,
1193,21_C0083,HR Slice pH G11,,,,BICINE,0.5 M,8.4,PEG 3350,15% (w/v),,,,,,
1197,21_C0084,HR Slice pH G12,,,,BICINE,0.5 M,8.7,PEG 3350,15% (w/v),,,,,,
1345,21_C0085,HR Slice pH H1,,,,BIS-TRIS propane,0.5 M,8.5,PEG 3350,15% (w/v),,,,,,
1349,21_C0086,HR Slice pH H2,,,,BIS-TRIS propane,0.5 M,8.8,PEG 3350,15% (w/v),,,,,,
1353,21_C0087,HR Slice pH H3,,,,BIS-TRIS propane,0.5 M,9.1,PEG 3350,15% (w/v),,,,,,
1357,21_C0088,HR Slice pH H4,,,,BIS-TRIS propane,0.5 M,9.4,PEG 3350,15% (w/v),,,,,,
1361,21_C0089,HR Slice pH H5,,,,Glycine,0.5 M,8.6,PEG 3350,15% (w/v),,,,,,
1365,21_C0090,HR Slice pH H6,,,,Glycine,0.5 M,8.9,PEG 3350,15% (w/v),,,,,,
1369,21_C0091,HR Slice pH H7,,,,Glycine,0.5 M,9.2,PEG 3350,15% (w/v),,,,,,
1373,21_C0092,HR Slice pH H8,,,,Glycine,0.5 M,9.5,PEG 3350,15% (w/v),,,,,,
1377,21_C0093,HR Slice pH H9,,,,AMPD,0.5 M,8.7,PEG 3350,15% (w/v),,,,,,
1381,21_C0094,HR Slice pH H10,,,,AMPD,0.5 M,9,PEG 3350,15% (w/v),,,,,,
1385,21_C0095,HR Slice pH H11,,,,AMPD,0.5 M,9.3,PEG 3350,15% (w/v),,,,,,
1389,21_C0096,HR Slice pH H12,,,,AMPD,0.5 M,9.6,PEG 3350,15% (w/v),,,,,,
97,21_C0097,HR Ionic Liquid 1,Tetraethylammonium bromide,C8H20BrN,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
101,21_C0098,HR Ionic Liquid 2,Benzyltriethylammonium chloride,C13H22ClN,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
105,21_C0099,HR Ionic Liquid 3,2-Hydroxyethylammonium formate,C3H9NO3,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
109,21_C0100,HR Ionic Liquid 4,Ethylammonium nitrate,C2H8N2O3,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
113,21_C0101,HR Ionic Liquid 5,Cholin acetate,C7H17NO3,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
117,21_C0102,HR Ionic Liquid 6,Choline dihydrogen phosphate,C5H16NPO5,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
121,21_C0103,HR Ionic Liquid 7,1-Ethyl-3-methylimidazolium acetate,C8H14N2O2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
125,21_C0104,HR Ionic Liquid 8,1-Butyl-3-methylimidazolium chloride,C8H15ClN2,5% w/v,MES,0.09 M,5.8,PEG 3350,27% (w/v),,,,,,
