"Composite List",,,,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,,,
1,M3_0001,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,,,
5,M3_0002,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","28% (v/v)",,,,,,
9,M3_0003,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","36% (v/v)",,,,,,
13,M3_0004,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,,,
17,M3_0005,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","28% (v/v)",,,,,,
21,M3_0006,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","18% (v/v)",,,,,,
25,M3_0007,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,,,
29,M3_0008,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.075 M","Sodium Citrate","0.1 M",5.6,"PEG 400","7% (v/v)",,,,,,
33,M3_0009,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.075 M","Sodium Citrate","0.1 M",5.6,"PEG 400","9% (v/v)",,,,,,
37,M3_0010,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","10% (v/v)",,,,,,
41,M3_0011,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","7% (v/v)",,,,,,
45,M3_0012,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","18% (v/v)",,,,,,
193,M3_0013,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","12.5% (v/v)",,,,,,
197,M3_0014,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,,,
201,M3_0015,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,,,
205,M3_0016,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M","Sodium Citrate","0.1 M",5.6,"PEG 400","7% (v/v)",,,,,,
209,M3_0017,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M","Sodium Citrate","0.1 M",5.6,"PEG 400","9% (v/v)",,,,,,
213,M3_0018,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M","Sodium Citrate","0.1 M",5.6,"PEG 400","12.5% (v/v)",,,,,,
217,M3_0019,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,,,
221,M3_0020,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","5% (v/v)",,,,,,
225,M3_0021,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","7% (v/v)",,,,,,
229,M3_0022,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","9% (v/v)",,,,,,
233,M3_0023,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","12.5% (v/v)",,,,,,
237,M3_0024,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,,,
385,M3_0025,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","20% (v/v)",,,,,,
389,M3_0026,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,,,
393,M3_0027,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","40% (v/v)",,,,,,
397,M3_0028,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.1 M",MES,"0.1 M",6,"PEG 400","50% (v/v)",,,,,,
401,M3_0029,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.05 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,,,
405,M3_0030,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.2 M",MES,"0.1 M",6,"PEG 400","20% (v/v)",,,,,,
409,M3_0031,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.2 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,,,
413,M3_0032,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.2 M",MES,"0.1 M",6,"PEG 400","40% (v/v)",,,,,,
417,M3_0033,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.2 M",MES,"0.1 M",6,"PEG 400","50% (v/v)",,,,,,
421,M3_0034,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.05 M",MES,"0.1 M",6,"PEG 400","15% (v/v)",,,,,,
425,M3_0035,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.4 M",MES,"0.1 M",6,"PEG 400","20% (v/v)",,,,,,
429,M3_0036,,"Magnesium Chloride hexahydrate","MgCl2 ∙ 6H2O","0.4 M",MES,"0.1 M",6,"PEG 400","30% (v/v)",,,,,,
