"Composite List",,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,"Chemical Additive",Concentration
1,M6_C0001,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
5,M6_C0002,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","28% (v/v)",,,,
9,M6_C0003,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","36% (v/v)",,,,
13,M6_C0004,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
17,M6_C0005,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","28% (v/v)",,,,
21,M6_C0006,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","18% (v/v)",,,,
25,M6_C0007,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","20% (v/v)",,,,
29,M6_C0008,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.075 M","Sodium Citrate","0.1 M",5.6,"PEG 400","7% (v/v)",,,,
33,M6_C0009,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.075 M","Sodium Citrate","0.1 M",5.6,"PEG 400","9% (v/v)",,,,
37,M6_C0010,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","10% (v/v)",,,,
41,M6_C0011,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","7% (v/v)",,,,
45,M6_C0012,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.2 M","Sodium Citrate","0.1 M",5.6,"PEG 400","18% (v/v)",,,,
193,M6_C0013,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","12.5% (v/v)",,,,
197,M6_C0014,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.1 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,
201,M6_C0015,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.05 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,
205,M6_C0016,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M","Sodium Citrate","0.1 M",5.6,"PEG 400","7% (v/v)",,,,
209,M6_C0017,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M","Sodium Citrate","0.1 M",5.6,"PEG 400","9% (v/v)",,,,
213,M6_C0018,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M","Sodium Citrate","0.1 M",5.6,"PEG 400","12.5% (v/v)",,,,
217,M6_C0019,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.125 M","Sodium Citrate","0.1 M",5.6,"PEG 400","15% (v/v)",,,,
221,M6_C0020,,"Ammonium Phosphate-dibasic",(NH4)2HPO4,"0.15 M","Sodium Citrate","0.1 M",5.6,"PEG 400","5% (v/v)",,,,
