File Name,Dates Used,Plate Number,Screen Type
MSC2_cocktail_list_092809.csv,10/8/2009 - 8/5/2010,,m
MSC8_1536_cocktail_list_complist.csv,11/30/2015 - 4/11/2023,,m
MSC5_1536_cocktail_list_complist.csv,10/3/12 - 9/17/2013,,m
MSC3_1536_cocktail_list_complist.csv,9/7/2010 - 8/22/2011,,m
MSC4_1536_cocktail_list_complist-for-web.csv,9/7/2011 - 9/19/2012,,m
MSC6_1536_cocktail_list_complist.csv,10/1/2013 - 10/29/2014,,m
13_C1536.csv,10/16/2012 - 6/7/2013,,s
13A_C1536.csv,6/11/2013 - 10/11/2013,,s
10_C1536.csv,10/14/2009 - 10/8/2010,,s
17_C1536_B.csv,7/18/2017 - 4/11/2023,,s
14_C1536.csv,10/16/2013 - 11/5/2014,,s
11_C1536.csv,10/3/12 - 9/17/2013,,s
16_C1536.csv,11/17/2015 - 6/28/2017,,s
12_C1536.csv,9/13/2011 - 10/12/2012,,s
9_C1536.csv,9/16/2008 - 10/9/2009,,s
15_C1536.csv,11/12/2014 - 11/6/2015,,s
21_C1536.csv,4/12/2023 - 8/15/2024,,s
MSC9_1536_cocktail_list_complist.csv,4/12/2023 -,,m
22_C1536.csv,8/16/2024-,,s
